Horario da captura:  2:03:19 PM -03 on 16, 2018; Temperatura na CPU: 52.615; Temperatura na GPU :52.6'C
Horario da captura:  2:03:20 PM -03 on 16, 2018; Temperatura na CPU: 53.692; Temperatura na GPU :53.7'C
Horario da captura:  2:03:21 PM -03 on 16, 2018; Temperatura na CPU: 53.692; Temperatura na GPU :53.7'C
Horario da captura:  2:03:22 PM -03 on 16, 2018; Temperatura na CPU: 52.615; Temperatura na GPU :51.0'C
Horario da captura:  2:03:25 PM -03 on 16, 2018; Temperatura na CPU: 50.464; Temperatura na GPU :50.5'C
Horario da captura:  2:03:26 PM -03 on 16, 2018; Temperatura na CPU: 49.925; Temperatura na GPU :49.9'C
Horario da captura:  2:03:27 PM -03 on 16, 2018; Temperatura na CPU: 50.464; Temperatura na GPU :50.5'C
Horario da captura:  2:03:28 PM -03 on 16, 2018; Temperatura na CPU: 49.925; Temperatura na GPU :50.5'C
Horario da captura:  2:03:29 PM -03 on 16, 2018; Temperatura na CPU: 49.388; Temperatura na GPU :49.4'C
Horario da captura:  2:03:30 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :47.8'C
Horario da captura:  2:03:31 PM -03 on 16, 2018; Temperatura na CPU: 48.85; Temperatura na GPU :48.9'C
Horario da captura:  2:03:32 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :48.3'C
Horario da captura:  2:03:33 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.8'C
Horario da captura:  2:03:34 PM -03 on 16, 2018; Temperatura na CPU: 46.698; Temperatura na GPU :47.2'C
Horario da captura:  2:03:35 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:03:36 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:03:37 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :46.2'C
Horario da captura:  2:03:38 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :46.2'C
Horario da captura:  2:03:39 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :46.2'C
Horario da captura:  2:03:40 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :45.6'C
Horario da captura:  2:03:41 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.6'C
Horario da captura:  2:03:42 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
