Horario da captura:  8:18:12 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.0'C
Horario da captura:  8:18:13 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  8:18:14 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.0'C
Horario da captura:  8:18:16 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  8:18:17 PM -03 on 17         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :50.5'C
Horario da captura:  8:18:18 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.9'C
Horario da captura:  8:18:19 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :50.5'C
Horario da captura:  8:18:20 PM -03 on 17         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.9'C
Horario da captura:  8:18:21 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.9'C
Horario da captura:  8:18:22 PM -03 on 17         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.9'C
Horario da captura:  8:18:23 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:24 PM -03 on 17         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:25 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:26 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:27 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:28 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:29 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:31 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.9'C
Horario da captura:  8:18:32 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  8:18:33 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:34 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:35 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.9'C
Horario da captura:  8:18:36 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:37 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  8:18:38 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:39 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:40 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  8:18:41 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:42 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:43 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:44 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:46 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:47 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:48 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:49 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :47.8'C
Horario da captura:  8:18:50 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:51 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:52 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:18:53 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:18:54 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:18:55 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :47.8'C
Horario da captura:  8:18:56 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:18:57 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.2'C
Horario da captura:  8:18:58 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :48.3'C
Horario da captura:  8:18:59 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:19:00 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  8:19:02 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  8:19:03 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.2'C
Horario da captura:  8:19:04 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:19:05 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:19:06 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  8:19:07 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  8:19:08 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
