Horario da captura:  7:28:59 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:00 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:01 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:02 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:03 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:04 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:05 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:06 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:07 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:08 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:09 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:11 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :47.2'C
Horario da captura:  7:29:12 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:13 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:14 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:15 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:16 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:17 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:18 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:19 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:20 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:21 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :47.2'C
Horario da captura:  7:29:22 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:23 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:24 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.7'C
Horario da captura:  7:29:26 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:27 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:28 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:29:29 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
