Horario da captura:  2:34:43 PM -03 on 16         , 2018; Temperatura na CPU: 53.154; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:44 PM -03 on 16         , 2018; Temperatura na CPU: 52.615; Temperatura na GPU         :52.1'C
Horario da captura:  2:34:45 PM -03 on 16         , 2018; Temperatura na CPU: 52.078; Temperatura na GPU         :52.1'C
Horario da captura:  2:34:46 PM -03 on 16         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  2:34:47 PM -03 on 16         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  2:34:48 PM -03 on 16         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  2:34:49 PM -03 on 16         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:50 PM -03 on 16         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.0'C
Horario da captura:  2:34:51 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:52 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:53 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:54 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:55 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:57 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.9'C
Horario da captura:  2:34:58 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.4'C
Horario da captura:  2:34:59 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:00 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:01 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:02 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:03 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:04 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:05 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:06 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:07 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:08 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:09 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.9'C
Horario da captura:  2:35:10 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:11 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:13 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  2:35:14 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:15 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:16 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  2:35:17 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:18 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:19 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:20 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:21 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:22 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:23 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:24 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:25 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:26 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:28 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:29 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:30 PM -03 on 16         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:31 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:32 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.2'C
Horario da captura:  2:35:33 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.2'C
Horario da captura:  2:35:34 PM -03 on 16         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:35 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.2'C
Horario da captura:  2:35:36 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:37 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:38 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:39 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:40 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:41 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:43 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:44 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:45 PM -03 on 16         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:46 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.2'C
Horario da captura:  2:35:47 PM -03 on 16         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:48 PM -03 on 16         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  2:35:49 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.2'C
Horario da captura:  2:35:50 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:35:51 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
